Id,Producto,Unidad,Cantidad,Precio,Clientes,Pzs
1162,Galletas de avena,paq,1,22,Gabi,0
1163,Alegrias redondas de chocolate,pz,4,18,Gabi,0
1164,Cono de huevo,pz,5,120,"ClaudiaGuichard,Mariana",0
1165,Queso fresco chico,pz,1,25,Lauren,0
1166,"Quesillo ",kg,2,120,"Nicte,Lauren,Ursula",0
1167,Queso panela,pz,2,60,"Evelyne,Tania",0
1170,Requeson 250grs,kg,0.5,80,"IsabelR,Lauren",0
1174,Crema 500g,kg,0.5,80,Laia,0
1176,Mantequilla 250g,kg,0.25,200,Lauren,0
1179,"Nata de leche de vaca ",kg,0.25,320,ClaudiaGuichard,0
1180,Yogurt natural S/A,bote,2,100,"ClaudiaGuichard,Mariana",0
1182,Carne de conejo molida,kg,1,260,"Evelyne,Gloria",0
1184,Carne de borrego molida,kg,1.6,260,"Noemi,GuadalupeM",0
1185,Carne de borrego,kg,1.5,160,"Bex,Lauren",0
1189,Te Gripa,bolsa,1,70,IsabelR,0
1190,Te Panza,bolsa,1,70,Evelyne,0
1192,Yogurt Bove natural litro,litro,2,65,"Catherine,Xicotencatl502",0
1193,Bove entera litro,litro,2,38,"Summer,Lauren",0
1194,"Bove deslactosada ",litro,4,40,Pablo,0
1196,Gud Almendra litro S/A,litro,1,52,Gabi,0
1198,Gud Coco litro S/A,litro,1,52,Gabi,0
1201,Mermelada YUBAN 210grs (Mango - maracuya),pz,1,75,IsabelR,0
1209,Mermelada Tipico cultivando amor : manzana,pz,1,75,Summer,0
1224,Mango o piña deshidratado natural o chile 30grs,pz,2,30,ClaudiaGuichard,0
1225,Mango o piña deshidratado natural o chile 100grs,pz,2,100,"Lorena,Lorena",0
1228,"Nuez en mitades ",pz,1,45,Summer,0
1232,Cacahuate horneado,pz,2.5,25,ClaudiaGuichard,0
1234,Garbanzos con chile,pz,1,25,ClaudiaGuichard,0
1238,"Granola ",pz,2,60,"ClaudiaGuichard,Mariana",0
1240,Alegria natural,barra,13,7,"Nicte,Elizabeth,Gabi",0
1241,Churritos de amaranto,pz,4,19.5,"Lupe,ClaudiaGuichard",0
1243,Cigarros artesanales paquete de 5 pzs (unstock),paq,1,45,michell,0
1244,Sopa Instantanea,pz,1,65,Nicte,0
1297,Barra de chocolate MAMA PACHA Vainilla y nibs de cacao,barra,1,85,Lauren,0
1298,Barra de chocolate MAMA PACHA Mango,barra,1,85,Lauren,0
1299,Barra de chocolate MAMA PACHA Mora azul,barra,1,85,Lauren,0
1301,Barra de chocolate MAMA PACHA Almendras y sal de mar,barra,3,85,"Bex,Lorena,Lauren",0
1305,Falafel 300 grs,paq,1,85,SraSalinas,0
1306,"Hamburguesas de lentejas, amaranto y arroz integral",paq,1.0,90.0,Raquel,0
1311,Queso untable de almendra o nuez de la india.,pz,1,85,SraSalinas,0
1314,Consome de verduras,pz,2,75,"SraSalinas,Nicte",0
1315,Humus de garbanzo,pz,1,60,Summer,0
13161,"Tallarines de hierbas ",bolsa,2,35,SraSalinas,0
1318,"Lasagna de curcuma 8 laminas ",paq,1,40,SraSalinas,0
1319,Pechuga de pavo natural(jamon),pz,6.0,90,"Claudia,Emma,Raquel",0.0
1320,Pechuga de pavo horneada(jamon),pz,3,95,"EdnaFlores,ClaudiaGuichard,Raquel",0
1322,Pierna de cerdo ahumada(jamon),pz,2,85,"kane,Mariana",0
1323,Jamon serrano 100gr,pz,5.5,80,"Claudia,Raquel",0
1327,Jamon de conejo,pz,2,90,Claudia,0
1328,Salami madurado,pz,2,95,"Blanca,Bex",0
1331,"Tocino con grasa ",pz,3,80,"Lupe,ClaudiaGuichard,Mariana",0
1332,Tocino sin grasa,pz,2,80,"Emma,Ursula",0
1333,Queso manchego con jamon serrano,pz,1,90,kane,0
1340,Chorizo argentino,pz,2,80,"Blanca,EdnaFlores",0
1342,Miel multifloral 300ml,bote,2,65,"AdrianaG,Elizabeth",0
1344,Miel multifloral 1L,bote,1,190,Monse1,0
1348,"Granos de polen ",pz,1,75,Monse2,0
1349,Gomitas de propoleo y miel 130grs,bote,2,70,"Evelyne,Elizabeth",0
1366,Fruto de niebla cafe Talea de castro Bolsa 250grs,bolsa,1,70,Summer,0
1370,Punta cometa Bolsa 1 kg,bolsa,1,210,Evelyne,0
1374,"Harina de amaranto, avena y almendra",bolsa,1,48,Summer,0
1391,Pasta rellena: Sorrentinos (orden x8) Carne a la bolonesa,paq,1.0,80.0,Raquel,0
